feature,flutter_file,method,endpoint,path_parameters,query_parameters,request_body,success_status,response_shape,handled_errors,authentication,pagination,media,realtime,legacy_route_file,legacy_controller,legacy_service,legacy_models,classification,confidence,notes
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:53,GET,/api/v1/adoptions,none,"species;search;breed;gender;size;minAgeDays;maxAgeDays;vaccinated;dewormed;neutered;goodWithKids;goodWithDogs;goodWithCats;countryId;divisionId;stateId;districtId;cityId;areaId;nearLat;nearLng;radiusKm;page;limit",none,200,list,"empty/error falls back to local mock data",optional,page-based,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,AdoptionPet,KEEP_COMPATIBLE,CONFIRMED,"UI falls back to AdoptionPetMockData on empty/error -- placeholder fallback exists client-side, not a backend gap"
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:91,GET,/api/v1/adoptions/{id},id,none,none,200,"adoption pet",none,optional,none,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,"AdoptionPet;AdoptionPetMedia",KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:101,POST,/api/v1/adoptions/{id}/favorite,id,none,none,200,none,none,required,n/a,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,AdoptionFavorite,KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:112,DELETE,/api/v1/adoptions/{id}/favorite,id,none,none,200,none,none,required,none,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,AdoptionFavorite,KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:125,GET,/api/v1/adoptions/{id}/comments,id,limit,none,200,list,none,optional,limit-only,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,AdoptionComment,KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:147,POST,/api/v1/adoptions/{id}/comments,id,none,text,200/201,comment,none,required,n/a,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,AdoptionComment,KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:160,DELETE,/api/v1/adoptions/{id}/comments/{commentId},"id;commentId",none,none,200/204,none,none,required,none,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,AdoptionComment,KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:172,POST,/api/v1/adoptions,none,none,"listing payload",200/201,"listing",none,required,n/a,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,"AdoptionPet;AdoptionCriteria",KEEP_COMPATIBLE,CONFIRMED,"Create adoption listing"
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:186,PATCH,/api/v1/adoptions/{id},id,none,payload,200,"listing",none,required,none,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,AdoptionPet,KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:197,POST,/api/v1/adoptions/{id}/submit-review,id,none,none,200,none,none,required,n/a,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,AdoptionStatusHistory,KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:231,POST,/api/v1/adoptions/{id}/apply,id,none,"application payload",200/201,"application",none,required,n/a,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,"AdoptionApplication;AdoptionApplicationAnswer",KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:241,GET,/api/v1/me/adoptions,none,"page;limit",none,200,list,none,required,page-based,no,no,modules/adoptions/adoptions.routes.ts (meRouter),adoptions.controller,UNKNOWN,AdoptionPet,KEEP_COMPATIBLE,CONFIRMED,"Mounted at /me alongside modules/me/me.routes.ts"
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:252,GET,/api/v1/me/adoption-applications,none,"page;limit",none,200,list,none,required,page-based,no,no,modules/adoptions/adoptions.routes.ts (meRouter),adoptions.controller,UNKNOWN,AdoptionApplication,KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:269,GET,/api/v1/me/adoptions/{id}/applications,id,none,none,200,list,none,required,none,no,no,modules/adoptions/adoptions.routes.ts (meRouter),adoptions.controller,UNKNOWN,AdoptionApplication,KEEP_COMPATIBLE,CONFIRMED,"Lists applications for one adoption listing"
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:287,GET,/api/v1/me/adoption-applications/{applicationId},applicationId,none,none,200,"application",none,required,none,no,no,none,none,none,none,KEEP_REDESIGN_INTERNALS,PARTIAL,"CONFIRMED PARTIAL GAP: no single-application detail-by-id route confirmed in furtail_api's /me router (only list-for-listing and status/notes sub-routes were found); needs re-verification, not asserted absent"
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:301,PATCH,/api/v1/me/adoption-applications/{applicationId}/status,applicationId,none,status,200,"application",none,required,none,no,no,modules/adoptions/adoptions.routes.ts (meRouter),adoptions.controller,UNKNOWN,AdoptionApplication,KEEP_COMPATIBLE,CONFIRMED,"POST on furtail_api side per reference mapping; verb mismatch (Flutter PATCH vs backend POST) noted for follow-up, not independently re-verified byte-for-byte"
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:315,PATCH,/api/v1/me/adoption-applications/{applicationId}/notes,applicationId,none,notes,200,"application",none,required,none,no,no,modules/adoptions/adoptions.routes.ts (meRouter),adoptions.controller,UNKNOWN,AdoptionApplication,KEEP_COMPATIBLE,CONFIRMED,none
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:329,POST,/api/v1/adoptions/{id}/report,id,none,reason,200/201,none,none,required,n/a,no,no,modules/adoptions/adoptions.routes.ts,adoptions.controller,UNKNOWN,AdoptionReport,KEEP_COMPATIBLE,CONFIRMED,"Separate from generic /reports endpoint"
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:207,GET,/api/v1/public/countries,none,none,none,200,list,none,not required,none,no,no,modules/countries/countries.routes.ts,countries.controller,UNKNOWN,Country,KEEP_COMPATIBLE,CONFIRMED,"Also used by country_picker_screen.dart"
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:340,GET,/api/v1/common/animal-types,none,none,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,AnimalType,KEEP_COMPATIBLE,CONFIRMED,"Duplicated with pets feature, same endpoint"
adoption,lib/features/adoption/data/datasources/adoption_remote_ds.dart:349,GET,/api/v1/common/breeds/{typeId},typeId,none,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,Breed,KEEP_COMPATIBLE,CONFIRMED,"Duplicated with pets feature, same endpoint"
fundraising,lib/features/fundraising/data/repositories/fundraising_repository.dart,GET,/api/v1/fundraising/feed,none,unknown,none,200,list,none,required,unknown,no,no,modules/fundraising/fundraising.routes.ts,fundraising.controller,UNKNOWN,FundraisingCampaign,KEEP_COMPATIBLE,PARTIAL,"Params not individually re-verified"
fundraising,lib/features/fundraising/data/repositories/fundraising_repository.dart,GET,/api/v1/fundraising/my/campaigns,none,limit,none,200,list,none,required,limit-only,no,no,modules/fundraising/fundraising.routes.ts,fundraising.controller,UNKNOWN,FundraisingCampaign,KEEP_COMPATIBLE,PARTIAL,"furtail_api path is /my/campaigns (not /my-campaigns) -- flagged for exact path confirmation"
fundraising,lib/features/fundraising/data/repositories/fundraising_repository.dart,unknown,/api/v1/fundraising/campaigns (CRUD),unknown,unknown,unknown,unknown,unknown,unknown,required,unknown,no,no,modules/fundraising/fundraising.routes.ts,fundraising.controller,UNKNOWN,"FundraisingCampaign;FundraisingCampaignStatusHistory",KEEP_COMPATIBLE,PARTIAL,"Full CRUD confirmed to exist on both sides at a route-group level; individual verb/path rows not itemized in this pass"
fundraising,lib/features/fundraising/data/repositories/fundraising_repository.dart:288,POST,/api/v1/fundraising/campaigns/{id}/donate,id,none,amount,200/201,"donation",none,required,n/a,no,no,modules/fundraising/fundraising.routes.ts,fundraising.controller,UNKNOWN,"Donation;FundraisingDonationIntent;FundraisingDonationPaymentAttempt",KEEP_COMPATIBLE,CONFIRMED,"FINANCIAL FLOW -- requires exact compatibility"
fundraising,lib/features/fundraising/data/repositories/fundraising_repository.dart,GET,/api/v1/fundraising/campaigns/{id}/donations,id,"limit;cursor",none,200,list,none,required,cursor,no,no,modules/fundraising/fundraising.routes.ts,fundraising.controller,UNKNOWN,Donation,KEEP_COMPATIBLE,CONFIRMED,none
fundraising,lib/features/fundraising/data/repositories/fundraising_repository.dart,unknown,/api/v1/fundraising/campaigns/{id}/updates,id,"limit;cursor",unknown,200,list,none,required,cursor,no,no,modules/fundraising/fundraising.routes.ts,fundraising.controller,UNKNOWN,FundraisingUpdate,KEEP_COMPATIBLE,PARTIAL,"CRUD on updates confirmed at route-group level, not itemized per verb"
fundraising,lib/features/fundraising/data/repositories/fundraising_repository.dart,GET,/api/v1/fundraising/payout/catalog,none,none,none,200,list,none,required,none,no,no,modules/fundraising/fundraising.routes.ts,fundraising.controller,UNKNOWN,FundraisingPayoutMethodCatalog,KEEP_COMPATIBLE,CONFIRMED,none
fundraising,lib/features/fundraising/data/repositories/fundraising_repository.dart,GET,/api/v1/fundraising/payout/methods,none,none,none,200,list,none,required,none,no,no,modules/fundraising/fundraising.routes.ts,fundraising.controller,UNKNOWN,FundraisingPayoutMethod,KEEP_COMPATIBLE,CONFIRMED,"FINANCIAL FLOW"
fundraising,lib/features/fundraising/data/repositories/fundraising_repository.dart,unknown,"/api/v1/fundraising/withdraw/requests",none,"limit;cursor",unknown,200,list,none,required,cursor,no,no,modules/fundraising/fundraising.routes.ts,fundraising.controller,UNKNOWN,FundraisingWithdrawRequest,KEEP_COMPATIBLE,CONFIRMED,"FINANCIAL FLOW"
fundraising_account,lib/features/fundraising/data/repositories/fundraising_repository.dart,unknown,"fundraising account verification (incl. document upload/delete)",unknown,unknown,unknown,unknown,unknown,unknown,required,unknown,yes,no,modules/fundraising/fundraising.routes.ts,fundraising.controller,UNKNOWN,"FundraisingAccount;FundraisingVerificationDocument;FundraisingAccountStatusLog",KEEP_COMPATIBLE,PARTIAL,"Confirmed present as a route group; individual endpoints not itemized in this pass"
campaign_checkout,lib/features/campaign/data/repositories/campaign_repository.dart:229,POST,/api/v1/campaign/public/checkout/init,none,none,"booking/payment details",200/201,"checkout session",none,not required (public),n/a,no,no,modules/campaign/campaign.routes.ts,campaign.controller,UNKNOWN,FundraisingCampaignIdempotencyKey,KEEP_COMPATIBLE,CONFIRMED,"FINANCIAL FLOW -- public booking checkout"
campaign_checkout,lib/features/campaign/data/repositories/campaign_repository.dart:235,POST,/api/v1/campaign/public/checkout/confirm-free,none,none,unknown,200,none,none,not required,n/a,no,no,modules/campaign/campaign.routes.ts,campaign.controller,UNKNOWN,CampaignBooking,KEEP_COMPATIBLE,CONFIRMED,"Free-booking path (no payment)"
campaign_checkout,lib/features/campaign/data/repositories/campaign_repository.dart:244,GET,/api/v1/campaign/public/checkout/{checkoutId}/status,checkoutId,none,none,200,"status",none,not required,none,no,no,modules/campaign/campaign.routes.ts,campaign.controller,UNKNOWN,CampaignCheckoutSession,KEEP_COMPATIBLE,CONFIRMED,"Polled by client for payment status; furtail_api param name is checkoutId matching Flutter's expectation"
campaign_checkout,lib/core/network/api_endpoints.dart:610,POST,/api/v1/campaign/public/coupons/validate,none,none,unknown,200,unknown,none,not required,n/a,no,no,modules/campaign/campaign.routes.ts,campaign.controller,UNKNOWN,unknown,KEEP_COMPATIBLE,PARTIAL,"Endpoint constant confirmed defined; individual caller in campaign_repository.dart not re-verified line-by-line"
campaign_vaccination,unknown (campaign feature),unknown,/api/v1/campaign/booking/* (create; my; :ref; :ref/cancel; :ref/payment; :ref/payment-status),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,no,no,modules/campaign/campaign.routes.ts,campaign.controller,UNKNOWN,"CampaignBooking;CampaignSlot;CampaignVaccineType",KEEP_COMPATIBLE,PARTIAL,"Route group confirmed present in furtail_api; Flutter call sites not individually itemized -- part of vaccination-campaign booking, not routine per-pet medical records"
campaign_certificate,unknown (campaign feature),GET,"/api/v1/campaign/public/verify/{token}; /certificates/{token}; /certificates/{token}/pdf; /campaign-link/certificates/{token}(/pdf); /campaign-link/certificate/{token}/claim",token,none,none,200,"certificate data or PDF binary",none,not required,none,yes (PDF),no,modules/campaign/campaign.routes.ts;modules/campaign/campaignLink.routes.ts,campaign.controller,UNKNOWN,unknown,KEEP_COMPATIBLE,PARTIAL,"Route group confirmed present, duplicated across two route files server-side; used by lib/features/campaign/presentation/screens/certificate_viewer_screen.dart per app_router.dart"
