feature,flutter_file,method,endpoint,path_parameters,query_parameters,request_body,success_status,response_shape,handled_errors,authentication,pagination,media,realtime,legacy_route_file,legacy_controller,legacy_service,legacy_models,classification,confidence,notes,authoritative_owner,legacy_prisma_operations,required_background_process,migration_risk,evidence
follow,lib/services/social_service.dart,POST,/api/v1/social/follow/{userId},userId,none,{},200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFollow,KEEP_COMPATIBLE,CONFIRMED,Called from visitor_profile_cubit.dart follow(),NEW_API_OWNS,UserFollow,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
follow,lib/services/social_service.dart,DELETE,/api/v1/social/follow/{userId},userId,none,none,200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFollow,KEEP_COMPATIBLE,CONFIRMED,unfollow,NEW_API_OWNS,UserFollow,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
follow,lib/services/social_service.dart,POST,/api/v1/social/like/{userId},userId,none,{},200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserProfileLike,KEEP_COMPATIBLE,CONFIRMED,Profile-level like distinct from post likes,NEW_API_OWNS,UserProfileLike,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
follow,lib/services/social_service.dart,DELETE,/api/v1/social/like/{userId},userId,none,none,200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserProfileLike,KEEP_COMPATIBLE,CONFIRMED,unlike profile,NEW_API_OWNS,UserProfileLike,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
follow,lib/services/social_service.dart,POST,/api/v1/social/friend-request/{userId},userId,none,{},200,data.requestId,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFriendRequest,KEEP_COMPATIBLE,CONFIRMED,Send friend request,NEW_API_OWNS,UserFriendRequest,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
follow,lib/services/social_service.dart,POST,/api/v1/social/friend-request/{requestId}/accept,requestId,none,{},200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFriendRequest;UserFriend,KEEP_COMPATIBLE,CONFIRMED,"Path shape verified matching on both sides (requestId, not userId)",NEW_API_OWNS,UserFriendRequest;UserFriend,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
follow,lib/services/social_service.dart,POST,/api/v1/social/friend-request/{requestId}/reject,requestId,none,{},200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFriendRequest,KEEP_COMPATIBLE,CONFIRMED,Path shape verified matching,NEW_API_OWNS,UserFriendRequest,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
follow,lib/services/social_service.dart,DELETE,/api/v1/social/friend-request/{requestId}/cancel,requestId,none,none,200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFriendRequest,KEEP_COMPATIBLE,CONFIRMED,Path shape verified matching,NEW_API_OWNS,UserFriendRequest,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
blocking,lib/features/settings/data/repositories/settings_repository.dart,none,none,none,none,none,none,local SharedPreferences list,none,n/a,none,no,no,n/a,n/a,n/a,n/a,UNKNOWN,CONFIRMED,No backend endpoint; blocking is purely client-local (key bpa_settings_blocked_users) on both current client and legacy backend,NEW_API_OWNS,n/a,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/feed,none,limit,none,200,posts list,none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post;PostMedia;PostLike;PostComment,KEEP_COMPATIBLE,CONFIRMED,Home feed,NEW_API_OWNS,Post;PostMedia;PostLike;PostComment,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/videos,none,limit;page;cursor;search;category;sort;duration;followingOnly,none,200,list,none,required,cursor+page hybrid,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post;PostMedia,KEEP_COMPATIBLE,CONFIRMED,Reels/video feed,NEW_API_OWNS,Post;PostMedia,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/user/{userId},userId,limit,none,200,list,none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post,KEEP_COMPATIBLE,CONFIRMED,User's post feed,NEW_API_OWNS,Post,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/user/{userId}/photos,userId,limit,none,200,list,none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post;PostMedia,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,Post;PostMedia,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/user/{userId}/videos,userId,limit,none,200,list,none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post;PostMedia,LEGACY_UNUSED,CONFIRMED,"Resolved Step 5A: `postsUserVideos()` is defined in lib/core/network/api_endpoints.dart but has zero call sites anywhere in lib/ (grep confirmed). Legacy route exists (posts.routes.ts, auth-gated). Client-defined-but-unused, not a migration gap.",NEW_API_OWNS,Post;PostMedia,none,LOW,"furtail_app lib/core/network/api_endpoints.dart:87-88 (defined, no callers); furtail_api src/api/v1/modules/posts/posts.routes.ts:18 (GET /user/:userId/videos, auth)"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/{postId},postId,none,none,200,post,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post,KEEP_COMPATIBLE,CONFIRMED,Post detail,NEW_API_OWNS,Post,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts,none,none,content;media ids;tagged pets etc.,200/201,created post id,none,required,n/a,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post;PostMedia;PostTaggedPet,KEEP_COMPATIBLE,CONFIRMED,Used by post_upload_manager.dart for background create/retry,NEW_API_OWNS,Post;PostMedia;PostTaggedPet,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,PATCH,/api/v1/posts/{postId},postId,none,fields,200,updated post,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,Post,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,DELETE,/api/v1/posts/{postId},postId,none,none,200/204,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,Post,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts/{postId}/like,postId,none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostLike,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,PostLike,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,DELETE,/api/v1/posts/{postId}/like,postId,none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostLike,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,PostLike,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/{postId}/comments,postId,limit,none,200,comments list,none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostComment,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,PostComment,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts/{postId}/comments,postId,none,text,200/201,comment,none,required,n/a,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostComment,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,PostComment,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,PATCH,/api/v1/posts/{postId}/comments/{commentId},postId;commentId,none,text,200,comment,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostComment,LEGACY_UNUSED,CONFIRMED,"Resolved Step 5A: definitive NOT_FOUND. Full route table read from posts.routes.ts under /comments -- only GET (list), POST (add), POST .../like, DELETE .../like, POST .../replies exist. No standalone PATCH or DELETE by commentId exists server-side. This is a genuine backend gap if the Flutter call site is exercised in production; the new API must decide whether to add this capability or the client behavior needs to change.",NEW_API_OWNS,PostComment (no matching legacy operation exists for this exact contract),none,MEDIUM,"furtail_api src/api/v1/modules/posts/posts.routes.ts:42-48 (full /comments route table, no matching route); furtail_app lib/features/posts/data/datasources/posts_remote_ds.dart (PATCH/DELETE methods defined and presumably called from comment-edit UI, not independently re-traced to a screen in Step 5A)"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,DELETE,/api/v1/posts/{postId}/comments/{commentId},postId;commentId,none,none,200/204,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostComment,LEGACY_UNUSED,CONFIRMED,"Resolved Step 5A: definitive NOT_FOUND. Full route table read from posts.routes.ts under /comments -- only GET (list), POST (add), POST .../like, DELETE .../like, POST .../replies exist. No standalone PATCH or DELETE by commentId exists server-side. This is a genuine backend gap if the Flutter call site is exercised in production; the new API must decide whether to add this capability or the client behavior needs to change.",NEW_API_OWNS,PostComment (no matching legacy operation exists for this exact contract),none,MEDIUM,"furtail_api src/api/v1/modules/posts/posts.routes.ts:42-48 (full /comments route table, no matching route); furtail_app lib/features/posts/data/datasources/posts_remote_ds.dart (PATCH/DELETE methods defined and presumably called from comment-edit UI, not independently re-traced to a screen in Step 5A)"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts/{postId}/comments/{commentId}/like,postId;commentId,none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostCommentLike,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,PostCommentLike,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,DELETE,/api/v1/posts/{postId}/comments/{commentId}/like,postId;commentId,none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostCommentLike,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,PostCommentLike,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts/{postId}/comments/{commentId}/replies,postId;commentId,none,text,200/201,reply,none,required,n/a,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostComment,KEEP_COMPATIBLE,CONFIRMED,Replies modeled as PostComment with parent reference,NEW_API_OWNS,PostComment,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/presentation/widgets/post_action_sheet.dart:91,POST,/api/v1/posts/{postId}/share,postId,none,none,200,data (shareCount),none,required,n/a,no,no,none,none,none,none,LEGACY_UNUSED,CONFIRMED,CONFIRMED GAP: no matching route found in furtail_api posts.routes.ts; live client call site confirmed,LEGACY_API_TEMPORARILY_OWNS,none identified,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/presentation/screens/reels_player_screen.dart:409,POST,/api/v1/posts/{postId}/view,postId,none,none,200,data (viewCount),none,required,n/a,no,no,none,none,none,none,LEGACY_UNUSED,CONFIRMED,CONFIRMED GAP: no matching route found in furtail_api posts.routes.ts; live client call site confirmed,LEGACY_API_TEMPORARILY_OWNS,none identified,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts/{postId}/bookmark,postId,none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostBookmark,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,PostBookmark,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,DELETE,/api/v1/posts/{postId}/bookmark,postId,none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostBookmark,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,PostBookmark,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/bookmarked,none,limit,none,200,list,none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostBookmark,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,PostBookmark,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
feeling_activities,lib/features/posts/data/datasources/feeling_activity_remote_ds.dart:45,GET,/api/v1/feeling-activities,none,none,none,200,list,none,unknown,none,no,no,modules/feeling-activities/feeling_activities.routes.ts,unknown,UNKNOWN,FeelingActivity,KEEP_COMPATIBLE,CONFIRMED,List-only endpoint on both sides,NEW_API_OWNS,FeelingActivity,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:32,GET,/api/v1/common/animal-types,none,none,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,AnimalType,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,AnimalType,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:40,GET,/api/v1/common/breeds/{typeId},typeId,none,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,Breed,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,Breed,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:52,GET,/api/v1/user/pets/all,none,none,none,200,list,none,required,none,no,no,modules/pets/pets.routes.ts,pets.controller,UNKNOWN,Pet,KEEP_COMPATIBLE,CONFIRMED,"Base path resolves via ApiConfig.userApi=/api/v1/user; matches furtail_api's /api/v1/user/pets mount -- verified directly, corrects an earlier /user-api mis-notation",NEW_API_OWNS,Pet,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:102,POST,/api/v1/user/pets/register,none,none,pet payload,200,pet,none,required,n/a,no,no,modules/pets/pets.routes.ts,pets.controller,UNKNOWN,Pet,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,Pet,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:152,PATCH,/api/v1/user/pets/{petId},petId,none,payload,200,pet,none,required,none,no,no,modules/pets/pets.routes.ts,pets.controller,UNKNOWN,Pet,KEEP_COMPATIBLE,CONFIRMED,none,NEW_API_OWNS,Pet,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:69,POST,/api/v1/media/upload,none,none,multipart,200,data.id,none,required,n/a,yes,no,modules/media/media.routes.ts,media.controller,UNKNOWN,Media,KEEP_COMPATIBLE,CONFIRMED,Pet photo upload via generic media endpoint; uploadPetPhoto() marked deprecated in favor of this,NEW_API_OWNS,Media,media processing worker (transcode/thumbnail) if async,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
pet_medical,lib/features/pets/ (no call site for this sub-domain),GET/POST/PATCH/DELETE,/api/v1/user/pets/{id}/vaccinations(/{vaccinationId}),id;recordId (where applicable),none,varies by sub-route (see legacy route table),200/201/204,varies,none,required,none,no,no,modules/pets/pets.routes.ts,pets.controller,UNKNOWN,Vaccination;VaccineType;VaccinationReminder,LEGACY_UNUSED,CONFIRMED,"Resolved Step 5A: legacy-only. Full CRUD exists server-side (pets.routes.ts) including clinical fields (batch number, administering org/branch, certificate token, campaign-booking linkage). Flutter never calls any of it -- pet_profile_screen.dart only reads a coarse vaccinated:bool + nextDueDate snapshot embedded in the /profile aggregate response.",LEGACY_API_TEMPORARILY_OWNS,Vaccination;VaccineType;VaccinationReminder,none,MEDIUM,"furtail_app: no call site found in lib/features/pets/ beyond the aggregate GET .../profile read (pet_service.dart:59-73), consumed by pet_profile_screen.dart; the screen's ""Medical History""/""Diet Chart""/""Gallery"" buttons are hardcoded SnackBar stubs (pet_profile_screen.dart:136-138), not real navigation. furtail_api: full CRUD route family confirmed in pets.routes.ts:5-43. Sub-route family: /api/v1/user/pets/{id}/vaccinations(/{vaccinationId})"
pet_medical,lib/features/pets/ (no call site for this sub-domain),GET/POST/PATCH/DELETE,/api/v1/user/pets/{id}/weights(/{recordId}),id;recordId (where applicable),none,varies by sub-route (see legacy route table),200/201/204,varies,none,required,none,no,no,modules/pets/pets.routes.ts,pets.controller,UNKNOWN,PetWeight,LEGACY_UNUSED,CONFIRMED,"Resolved Step 5A: legacy-only. Full CRUD exists server-side. Flutter /profile aggregate only surfaces the single latest weightKg value, no history endpoint is called.",LEGACY_API_TEMPORARILY_OWNS,PetWeight,none,MEDIUM,"furtail_app: no call site found in lib/features/pets/ beyond the aggregate GET .../profile read (pet_service.dart:59-73), consumed by pet_profile_screen.dart; the screen's ""Medical History""/""Diet Chart""/""Gallery"" buttons are hardcoded SnackBar stubs (pet_profile_screen.dart:136-138), not real navigation. furtail_api: full CRUD route family confirmed in pets.routes.ts:5-43. Sub-route family: /api/v1/user/pets/{id}/weights(/{recordId})"
pet_medical,lib/features/pets/ (no call site for this sub-domain),GET/POST/PATCH/DELETE,/api/v1/user/pets/{id}/deworming(/{recordId}),id;recordId (where applicable),none,varies by sub-route (see legacy route table),200/201/204,varies,none,required,none,no,no,modules/pets/pets.routes.ts,pets.controller,UNKNOWN,DewormingRecord,LEGACY_UNUSED,CONFIRMED,Resolved Step 5A: legacy-only. Full CRUD exists server-side. No Flutter call site of any kind (not even an aggregate summary).,LEGACY_API_TEMPORARILY_OWNS,DewormingRecord,none,MEDIUM,"furtail_app: no call site found in lib/features/pets/ beyond the aggregate GET .../profile read (pet_service.dart:59-73), consumed by pet_profile_screen.dart; the screen's ""Medical History""/""Diet Chart""/""Gallery"" buttons are hardcoded SnackBar stubs (pet_profile_screen.dart:136-138), not real navigation. furtail_api: full CRUD route family confirmed in pets.routes.ts:5-43. Sub-route family: /api/v1/user/pets/{id}/deworming(/{recordId})"
